record_id,study_hours,practice_score,accuracy,accuracy_pct,z_max_abs,if_label,if_score,outlier_flag,synthetic_ground_truth
55,3.0,98.0,0.46,46.0,6.4310299340704455,-1,-0.12866353566833455,True,True
56,5.137514904871488,79.83689897052552,0.99,99.0,0.6469857919156479,1,0.23533971403369658,False,False
57,5.628557960843977,91.5325945630565,0.99,99.0,0.9380160151071463,1,0.19974952134013607,False,False
58,8.018170770166435,94.73443349309281,0.99,99.0,1.673169845730259,1,0.10373607745346825,False,False
59,4.831127993814121,76.35071644811919,0.99,99.0,0.8937578300320026,1,0.22732120683020124,False,False
60,7.307175778698499,91.85518395664873,0.99,99.0,1.1005158686737417,1,0.17515688903185395,False,False
61,3.7281258083186635,79.87526552435142,0.99,99.0,1.7821446622963335,1,0.120190783222615,False,False
62,5.547905209519204,82.27509334836492,0.99,99.0,0.31644669822000887,1,0.2523369559283619,False,False
63,6.219716637891757,81.67149951661784,0.99,99.0,0.22464781145476445,1,0.2511853687507286,False,False
64,6.791400147335025,94.50615738153141,0.99,99.0,1.2214927097260238,1,0.19330532078895263,False,False
65,6.960155882720354,90.97972744014632,0.99,99.0,0.8853098998731624,1,0.2058531920318526,False,False
66,7.071018767519899,98.75171153907743,0.99,99.0,1.6262313121624925,1,0.12927104735596323,False,False
67,5.5292211524646095,81.94297383475836,0.99,99.0,0.3314953268436422,1,0.2536566136638246,False,False
68,5.375825079902834,71.99524170931149,0.99,99.0,0.9245255038317018,1,0.20724579266513282,False,False
69,7.158267439697157,80.3299558913284,0.99,99.0,0.9805811946334334,1,0.2079014750388512,False,False
70,5.74173916140982,92.58807519883419,0.99,99.0,1.0386374514546544,1,0.19569142308755993,False,False
71,4.277823463493805,85.44850919525922,0.99,99.0,1.3394037819917175,1,0.15548339567081865,False,False
72,9.2,48.0,0.96,96.0,3.2120479883324107,-1,-0.09075240912620108,True,True
73,4.758739413897825,74.25472736488476,0.99,99.0,0.9520614871322511,1,0.21739371546860914,False,False
74,6.671167004472581,96.18945632283175,0.99,99.0,1.3819655327552043,1,0.16807209278618473,False,False
75,6.192274743695263,77.00403173393269,0.99,99.0,0.447025842012599,1,0.22912902471001778,False,False
76,6.932155227991487,82.23148156234286,0.99,99.0,0.7984645006368107,1,0.2315321792891551,False,False
77,5.423208927445678,84.38231058819632,0.99,99.0,0.416880347838462,1,0.2388185214220711,False,False
78,6.214028582953564,81.7480153327712,0.99,99.0,0.22006650311763118,1,0.2513089049384443,False,False
79,6.844547031855905,87.55835243197025,0.99,99.0,0.7279025662465164,1,0.22678964424667164,False,False
80,5.582382171377678,79.96600845075459,0.99,99.0,0.2886780506739571,1,0.25015554604557444,False,False
81,6.616646570702505,88.60079673484609,0.99,99.0,0.6585208746418945,1,0.22383162854274502,False,False
82,5.10639997956002,87.70191199225125,0.99,99.0,0.6720465672224345,1,0.19247380870742603,False,False
83,5.509877307137153,81.24016389197455,0.99,99.0,0.3470753662127851,1,0.25237225584095924,False,False
84,5.484653843102255,84.7058021404313,0.99,99.0,0.3673910043931672,1,0.24081231125915892,False,False
85,4.385616478454796,61.4790870312633,0.99,99.0,1.9270551123243516,1,0.02292221655132587,False,False
86,6.6574128490605355,86.30187720256902,0.99,99.0,0.5771797970189326,1,0.23321195610459305,False,False
87,5.366306840726323,74.42379881487321,0.99,99.0,0.6930054778546096,1,0.23255960647836477,False,False
88,6.016867060282378,75.36542382071478,0.99,99.0,0.6032381648629326,1,0.22548746428826666,False,False
89,6.6490079895229774,80.86685116048261,0.99,99.0,0.5704103031426861,1,0.24189271665545764,False,False
90,6.602817087640425,84.16284649117493,0.99,99.0,0.5332069416784104,1,0.24291637240446812,False,False
91,6.898269897113261,93.82436999030304,0.99,99.0,1.1564963239434725,1,0.19721340773577106,False,False
92,5.867044595912278,73.88707923343668,0.99,99.0,0.7441722102126934,1,0.2136662419284866,False,False
93,5.428547278740393,80.42755055131376,0.99,99.0,0.4125806999695912,1,0.24682221421787903,False,False
94,4.0,42.0,0.49,49.0,6.057253573678881,-1,-0.16167039641254255,True,True
95,3.7220985141566594,69.22503716026189,0.99,99.0,1.7869992027842136,1,0.09781049011832743,False,False
96,4.046398162228832,79.55919630806984,0.99,99.0,1.5257997773942618,1,0.17327868243635708,False,False
97,4.214355523321556,77.41239906179761,0.99,99.0,1.3905225223364057,1,0.19222149498785762,False,False
98,4.653716782738,84.89241496861544,0.99,99.0,1.0366494633294445,1,0.20061060043709172,False,False
99,6.539695206076639,85.00212815647417,0.99,99.0,0.4823669259953714,1,0.24406798073261954,False,False
100,4.7776032752639175,72.31991005551279,0.99,99.0,0.9368680394095987,1,0.20339407199153314,False,False
101,5.489480552046824,79.09021656092023,0.99,99.0,0.36350344666579887,1,0.24708536215456095,False,False
102,7.753958202011188,93.89681179372111,0.99,99.0,1.4603661273383248,1,0.13588785979376988,False,False
103,5.519043639067075,81.84675375309791,0.99,99.0,0.33969256253951013,1,0.2543547198064055,False,False
104,6.995646017430567,81.32883682112207,0.99,99.0,0.8496016443791051,1,0.2266996155174878,False,False
105,4.739616131986666,77.23418746691185,0.99,99.0,0.9674638789524641,1,0.22232566750914595,False,False
106,5.7226592968787,83.24131248967211,0.99,99.0,0.17569518191652111,1,0.2475922514359679,False,False
107,4.7174702258707155,92.89442641849821,0.99,99.0,1.0678426293655618,1,0.14224072865757142,False,False
108,5.54230534753424,93.01947778050891,0.99,99.0,1.0797640680317075,1,0.18554880793101397,False,False
109,7.134415985567484,83.5528813463186,0.99,99.0,0.961370609144303,1,0.21549218059325886,False,False
110,3.668117428690329,69.20621877912006,0.99,99.0,1.8304769820218694,1,0.08935507738037796,False,False
111,6.586471918786907,76.7372809657514,0.99,99.0,0.52004211483441,1,0.21659235151399836,False,False
112,8.9,44.0,0.95,95.0,3.593377338911617,-1,-0.07843445036379904,True,True
113,5.197897559809327,81.08049983434572,0.99,99.0,0.5983520210588469,1,0.2379587533153888,False,False
114,4.047821896575586,80.88672239796658,0.99,99.0,1.5246530644838692,1,0.166324077841717,False,False
115,6.097374835413724,78.96730419881791,0.99,99.0,0.25986248850141913,1,0.24438228532239387,False,False
116,5.285184842763867,75.23100932193142,0.99,99.0,0.6160522132453043,1,0.2298255291758564,False,False
117,6.31411288532885,70.87600831040876,0.99,99.0,1.031224640119235,1,0.15873721953022402,False,False
118,6.029500396456648,82.29607357803268,0.99,99.0,0.17235243284722115,1,0.24653848302118225,False,False
119,8.162401503283236,87.53879413998567,0.99,99.0,1.789337053550651,1,0.0978178430945984,False,False
120,5.676869902911418,78.0783672172599,0.99,99.0,0.34460692897225886,1,0.24100951257430897,False,False
